Date,Province,Total_Cases,Total_Deaths,Total_Recovered,Total_Active_Cases,Location Level,Population,Population Density,Longitude,Latitude,Total Deaths per 100rb,Month,Year
10/25/2021,Jawa Barat,705156,14683,689286,1187,Province,45161325,1276.55,107.6037083,-6.920432083,32.51,10,2021
10/25/2021,Jawa Timur,397843,29592,367766,485,Province,40479023,846.78,112.7329414,-7.723345579,73.1,10,2021
10/26/2021,Banten,132216,2685,129306,225,Province,10722374,1109.64,106.1090043,-6.456736388,25.04,10,2021
10/26/2021,Daerah Istimewa Yogyakarta,155702,5242,150073,387,Province,3631015,1158.9,110.4448783,-7.89450185,144.37,10,2021
10/26/2021,DKI Jakarta,861000,13578,846413,1009,Province,10846145,16334.31,106.8361183,-6.204698991,125.19,10,2021
10/26/2021,Jawa Barat,705233,14684,689352,1197,Province,45161325,1276.55,107.6037083,-6.920432083,32.51,10,2021
10/26/2021,Jawa Tengah,484712,30100,452658,1954,Province,36364072,1108.64,110.2011149,-7.259097177,82.77,10,2021
10/26/2021,Jawa Timur,397894,29599,367838,457,Province,40479023,846.78,112.7329414,-7.723345579,73.12,10,2021
10/27/2021,Banten,132245,2685,129318,242,Province,10722374,1109.64,106.1090043,-6.456736388,25.04,10,2021
10/27/2021,DKI Jakarta,861105,13579,846558,968,Province,10846145,16334.31,106.8361183,-6.204698991,125.2,10,2021
10/27/2021,Daerah Istimewa Yogyakarta,155729,5243,150107,379,Province,3631015,1158.9,110.4448783,-7.89450185,144.39,10,2021
10/27/2021,Jawa Barat,705318,14687,689445,1186,Province,45161325,1276.55,107.6037083,-6.920432083,32.52,10,2021
10/27/2021,Jawa Tengah,484830,30107,452742,1981,Province,36364072,1108.64,110.2011149,-7.259097177,82.79,10,2021
10/27/2021,Jawa Timur,397984,29605,367937,442,Province,40479023,846.78,112.7329414,-7.723345579,73.14,10,2021
10/28/2021,Banten,132260,2685,129325,250,Province,10722374,1109.64,106.1090043,-6.456736388,25.04,10,2021
10/28/2021,DKI Jakarta,861236,13580,846657,999,Province,10846145,16334.31,106.8361183,-6.204698991,125.21,10,2021
10/28/2021,Daerah Istimewa Yogyakarta,155759,5245,150147,367,Province,3631015,1158.9,110.4448783,-7.89450185,144.45,10,2021
10/28/2021,Jawa Tengah,484918,30113,452819,1986,Province,36364072,1108.64,110.2011149,-7.259097177,82.81,10,2021
